abbrev,title,cluster,qid,block,primary_drift,condition,suffix_was_stripped,tokens,d1,d2,d3,d4,total,d1_per1k,d2_per1k,d3_per1k,d4_per1k,total_per1k,tokens_raw,d4_raw,total_raw,d4_per1k_raw,total_per1k_raw
coa,The Confessions of St. Augustine,G1,Q13,5,D4,A2,False,384,1,1,4,0,6,2.6041666666666665,2.6041666666666665,10.416666666666666,0.0,15.625,384,0,6,0.0,15.625
coa,The Confessions of St. Augustine,G1,Q13,5,D4,B,True,161,0,0,1,1,2,0.0,0.0,6.211180124223602,6.211180124223602,12.422360248447204,187,2,3,10.695187165775401,16.0427807486631
coa,The Confessions of St. Augustine,G1,Q14,5,D3,A1,False,488,0,1,0,0,1,0.0,2.0491803278688527,0.0,0.0,2.0491803278688527,488,0,1,0.0,2.0491803278688527
coa,The Confessions of St. Augustine,G1,Q14,5,D3,A2,False,407,0,1,0,0,1,0.0,2.457002457002457,0.0,0.0,2.457002457002457,407,0,1,0.0,2.457002457002457
coa,The Confessions of St. Augustine,G1,Q14,5,D3,B,True,168,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,189,1,1,5.291005291005291,5.291005291005291
coa,The Confessions of St. Augustine,G1,Q15,5,D3,A1,False,556,0,1,3,0,4,0.0,1.7985611510791368,5.39568345323741,0.0,7.194244604316547,556,0,4,0.0,7.194244604316547
coa,The Confessions of St. Augustine,G1,Q15,5,D3,A2,False,462,0,3,2,0,5,0.0,6.493506493506494,4.329004329004329,0.0,10.822510822510822,462,0,5,0.0,10.822510822510822
coa,The Confessions of St. Augustine,G1,Q15,5,D3,B,True,185,0,0,2,0,2,0.0,0.0,10.81081081081081,0.0,10.81081081081081,203,1,3,4.926108374384237,14.778325123152708
jsm,Autobiography of John Stuart Mill,G1,Q01,1,D3,A1,False,419,0,1,1,0,2,0.0,2.3866348448687353,2.3866348448687353,0.0,4.773269689737471,419,0,2,0.0,4.773269689737471
jsm,Autobiography of John Stuart Mill,G1,Q01,1,D3,A2,False,299,0,2,1,0,3,0.0,6.688963210702341,3.3444816053511706,0.0,10.033444816053512,299,0,3,0.0,10.033444816053512
jsm,Autobiography of John Stuart Mill,G1,Q01,1,D3,B,True,139,0,1,0,0,1,0.0,7.194244604316547,0.0,0.0,7.194244604316547,155,1,2,6.451612903225806,12.903225806451612
jsm,Autobiography of John Stuart Mill,G1,Q02,1,D3,A1,False,438,0,1,1,0,2,0.0,2.28310502283105,2.28310502283105,0.0,4.5662100456621,438,0,2,0.0,4.5662100456621
jsm,Autobiography of John Stuart Mill,G1,Q02,1,D3,A2,False,302,0,3,0,0,3,0.0,9.933774834437086,0.0,0.0,9.933774834437086,302,0,3,0.0,9.933774834437086
